id_seccion,sede_id,nombre
1,ECHES,Seccion
2,ERUNI,Seccion
3,EHAIT,Seccion
4,EKENY,Seccion
5,CNYOR,Seccion
6,EPBAJ,Seccion
7,EECUA,Seccion
8,ESSED,Seccion
9,EJAPO,Seccion
10,ESALV,Seccion
11,EGUAT,Seccion
12,ETAIL,Seccion
13,ETURQ,Seccion
14,EBRAS,Agregaduria  Militar
15,EPORT,Seccion
16,CGUAY,Seccion
17,EBOLV,Seccion
18,EEEUU,Seccion
19,ECHIN,Seccion
20,EINDI,Seccion
21,ESURI,Seccion
22,EPBAJ,Agregaduria  Militar
23,EPERU,Agregaduria  Militar
24,EHILE,Agregaduria  Militar
25,EBOLV,Agregaduria  Militar
26,EALEM,Agregaduria  Militar
27,EFRUS,Agregaduria  Militar
28,ECHIN,Agregaduria  Militar
29,EISRA,Seccion
30,EKUWA,Seccion
31,EMEXI,Agregaduria  Militar
32,ESAFR,Agregaduria  Militar
33,ECOLO,Agregaduria  Militar
34,EITAL,Agregaduria  Militar
35,EINDI,Agregaduria  Militar
36,ERUNI,Agregaduria  Militar
37,EEGIP,Agregaduria  Militar
38,ETUNE,Seccion
39,ETRIA,Seccion
40,ECANA,Seccion
41,ECEUR,Seccion
42,EBRAS,Seccion
43,CPCAR,Seccion
44,EKENY,Sección  Consular
45,ECOLO,Seccion
46,CGMUM,Seccion
47,EUNGR,Seccion
48,EMEXI,Seccion
49,EFILI,Sección  Consular
50,EFILI,Seccion
51,ESUIZ,Seccion
52,EITAL,Seccion
53,EBELG,Seccion
54,ECORE,Seccion
55,EESPA,Seccion
56,EFRAN,Seccion
57,EURUG,Seccion
58,EALEM,Seccion
59,EPNMA,Seccion
60,EHILE,Seccion
61,EFRUS,Seccion
62,EPERU,Seccion
63,EBARB,Seccion
64,ENIGE,Seccion
65,EPORT,Sección  Consular
66,EMARR,Seccion
67,DITIC,Seccion
68,ETRIN,Seccion
69,CBARC,Seccion
70,EDOMI,Seccion
71,CCONC,Seccion
72,ESUEC,Seccion
73,ESING,Seccion
74,EMOZA,Seccion
75,EEARB,Seccion
76,CGTEL,Seccion
77,CSCRS,Seccion
78,EEGIP,Seccion
79,EVENE,Seccion
80,EDINA,Seccion
81,EARME,Seccion
82,EANGO,Seccion
83,EHOND,Seccion
84,EAUST,Seccion
85,EARGE,Seccion
86,ECUBA,Seccion
87,CSIDN,Seccion
88,EISIA,Seccion
89,CMIAM,Seccion
90,ESERB,Seccion
91,ELBNO,Seccion
92,CMILA,Seccion
93,CURUG,Seccion
94,EPOLO,Seccion
95,EFINL,Seccion
96,CBELO,Seccion
97,EINDI,Sección  Consular
98,CRIOJ,Seccion
99,EETIO,Sección  Consular
100,ETRIN,Sección  Consular
101,ENORU,Seccion
102,EARGE,Sección  Consular
103,EJAMA,Sección  Consular
104,EVIET,Sección  Consular
105,ENZEL,Seccion
106,ERUMA,Seccion
107,EASIR,Sección  Consular
108,ETUNE,Sección  Consular
109,EEEUU,Sección  Consular
110,EIRLA,Sección  Consular
111,EGREC,Sección  Consular
112,EQATR,Sección  Consular
113,EEGIP,Sección  Consular
114,EHAIT,Sección  Consular
115,EDINA,Sección  Consular
116,ESERB,Sección  Consular
117,EANGO,Sección  Consular
118,CCHIC,Sección  Consular
119,EEARB,Sección  Consular
120,CVIGO,Sección  Consular
121,CFRAN,Seccion
122,EMSIA,Sección  Consular
123,EUNGR,Sección  Consular
124,CGTEL,Sección  Consular
125,EIRAN,Sección  Consular
126,EGUAT,Sección  Consular
127,CSHAN,Seccion
128,EUCRA,Sección  Consular
129,ERICA,Seccion
130,CRECI,Sección  Consular
131,CPABL,Sección  Consular
132,ETAIL,Sección  Consular
133,EMOZA,Sección  Consular
134,ETRIA,Sección  Consular
135,ESALV,Sección  Consular
136,EAZER,Sección  Consular
137,ELBNO,Sección  Consular
138,EMARR,Sección  Consular
139,ENICA,Sección  Consular
140,ECHIN,Sección  Consular
141,CMIAM,Sección  Consular
142,CBARC,Sección  Consular
143,CBELO,Sección  Consular
144,ENIGE,Sección  Consular
145,ECORE,Sección  Consular
146,ESAFR,Seccion
147,EQATR,Seccion
148,EETIO,Seccion
149,EIRLA,Seccion
150,EJAMA,Seccion
151,EGREC,Seccion
152,EUCRA,Seccion
153,EIRAN,Seccion
154,EAZER,Seccion
155,EPAKI,Seccion
156,CCHIC,Seccion
157,EMSIA,Seccion
158,,Seccion
159,EVIET,Seccion
