País,sedes,secciones promedio,PBI per Cápita 2023 (US$)
Brazil,11,0.72727275,10377.5892792557
United States,9,0.7777778,82304.6204272866
Uruguay,8,0.125,23019.4221560046
Bolivia,7,0.42857143,3686.27996442176
Chile,7,0.42857143,17067.0364799154
Spain,7,0.5714286,33509.0127982139
China,6,0.6666667,12951.1782397043
Canada,4,0.25,54220.3285039875
Germany,4,0.75,53940.4073447462
Italy,4,0.75,39065.4244365633
Paraguay,4,0.0,6299.99026533643
Mexico,3,1.0,13826.1306570122
Australia,2,1.0,64835.9199754535
Belgium,2,1.0,54690.0942734964
Ecuador,2,1.0,6737.84748379638
France,2,0.5,44690.9345395117
India,2,2.0,2530.12031278204
Israel,2,1.5,52003.7200729997
Peru,2,1.0,7887.54185920108
South Africa,2,1.0,6022.54254192335
Switzerland,2,0.5,100631.802755125
Turkiye,2,0.5,13105.6585004778
United Kingdom,2,1.0,49200.8101526146
Algeria,1,2.0,5364.02795022731
Angola,1,2.0,2309.53413042773
Argentina,1,0.0,14187.4827252965
Armenia,1,1.0,8125.27395754003
Austria,1,2.0,56033.573792065
Azerbaijan,1,2.0,7133.02838048328
Bangladesh,1,0.0,2551.01773827307
Barbados,1,1.0,23804.0249914995
Bulgaria,1,0.0,15883.8618545581
Colombia,1,2.0,7000.83660501046
Costa Rica,1,1.0,16942.0268119304
Cuba,1,1.0,9605.26125067263
Czechia,1,1.0,31591.0568216357
Denmark,1,2.0,68453.8769281145
Dominican Republic,1,1.0,10630.431743829
"Egypt, Arab Rep.",1,3.0,3456.78968456253
El Salvador,1,2.0,5365.44491399171
Ethiopia,1,2.0,1011.07332413462
Finland,1,1.0,52821.5114340717
Greece,1,2.0,23400.7278817691
Guatemala,1,2.0,5758.30876298845
Guyana,1,0.0,20473.7002190617
Haiti,1,2.0,1705.75808460999
Honduras,1,1.0,3227.45762509776
Hungary,1,2.0,22312.1790289763
Indonesia,1,1.0,4876.30774512252
"Iran, Islamic Rep.",1,2.0,4465.63766853306
Ireland,1,2.0,103887.800388081
Jamaica,1,2.0,6839.72502408181
Japan,1,1.0,33836.1756271617
Kenya,1,2.0,1952.30457929636
"Korea, Rep.",1,2.0,33121.3712885508
Kuwait,1,1.0,34075.8490439847
Lebanon,1,2.0,3477.72489842684
Libya,1,0.0,6172.81246940233
Malaysia,1,2.0,11379.0851923557
Morocco,1,2.0,3771.4462890625
Mozambique,1,2.0,622.985619320596
Netherlands,1,2.0,64572.0059558854
New Zealand,1,1.0,48654.904227478
Nicaragua,1,1.0,2609.44492072931
Nigeria,1,2.0,1596.63696129001
Norway,1,1.0,87497.3289297342
Pakistan,1,1.0,1365.16927410976
Panama,1,1.0,18686.4050961265
Philippines,1,2.0,3804.08274131097
Poland,1,1.0,22145.2643088909
Portugal,1,2.0,27386.2920595024
Qatar,1,2.0,80195.8746508549
Romania,1,1.0,18404.2730871704
Russian Federation,1,2.0,14159.3876953125
Saudi Arabia,1,0.0,36156.848337701
Senegal,1,0.0,1698.03387300843
Serbia,1,2.0,12281.5058488303
Singapore,1,1.0,85412.230345235
St. Lucia,1,0.0,13554.7684784933
Suriname,1,1.0,5494.07409425517
Sweden,1,1.0,55567.0890080496
Syrian Arab Republic,1,1.0,847.372723418531
Thailand,1,2.0,7195.10130919449
Trinidad and Tobago,1,2.0,18639.259241294
Tunisia,1,2.0,3950.3753419816
Ukraine,1,2.0,5139.59814453125
United Arab Emirates,1,2.0,49040.6947521035
"Venezuela, RB",1,1.0,15943.6127197163
Viet Nam,1,2.0,4323.35031982451
West Bank and Gaza,1,0.0,3455.02852911712
