País,Cantidad Redes Sociales
Algeria,4
Angola,3
Argentina,1
Armenia,4
Australia,4
Austria,4
Azerbaijan,4
Bangladesh,2
Barbados,2
Belgium,6
Bolivia,4
Brazil,5
Bulgaria,3
Canada,6
Chile,4
China,3
Colombia,2
Costa Rica,3
Cuba,3
Czechia,3
Denmark,4
Dominican Republic,3
Ecuador,4
"Egypt, Arab Rep.",4
El Salvador,4
Ethiopia,3
Finland,3
France,3
Germany,3
Greece,3
Guatemala,4
Guyana,1
Haiti,1
Honduras,1
Hungary,4
India,4
Indonesia,1
"Iran, Islamic Rep.",1
Ireland,3
Israel,3
Italy,5
Jamaica,3
Japan,4
Kenya,4
"Korea, Rep.",3
Kuwait,2
Lebanon,3
Libya,1
Malaysia,2
Mexico,5
Morocco,3
Mozambique,2
Netherlands,4
New Zealand,2
Nicaragua,1
Nigeria,3
Norway,5
Pakistan,2
Panama,1
Paraguay,4
Peru,3
Philippines,4
Poland,2
Portugal,1
Qatar,1
Romania,2
Russian Federation,3
Saudi Arabia,4
Senegal,1
Serbia,1
Singapore,3
South Africa,4
Spain,6
St. Lucia,1
Suriname,1
Sweden,4
Switzerland,5
Syrian Arab Republic,2
Thailand,2
Trinidad and Tobago,2
Tunisia,5
Turkiye,3
Ukraine,3
United Arab Emirates,2
United Kingdom,6
United States,6
Uruguay,4
"Venezuela, RB",4
Viet Nam,3
West Bank and Gaza,2
